_background	Graphs	xdot	<none>		Строка в xdotформате, задающая произвольный фон.	A string in the xdot format specifying an arbitrary background.		_background	Графы	xdot	<none>	
area	Nodes, Clusters	double	1.0	>0	Указывает предпочтительную область для узла или пустого кластера. только лоскутное одеяло .	Indicates the preferred area for a node or empty cluster. patchwork only.		area	Узлы, Кластеры	двойной	1.0	>0
arrowhead	Edges	arrowType	normal		Стиль наконечника стрелы на головном узле ребра.	Style of arrowhead on the head node of an edge.		arrowhead	Края	arrowТип	normal	
arrowsize	Edges	double	1.0	0.0	Мультипликативный масштабный коэффициент для наконечников стрел.	Multiplicative scale factor for arrowheads.		arrowsize	Края	двойной	1.0	0.0
arrowtail	Edges	arrowType	normal		Стиль наконечника стрелы на хвостовом узле кромки.	Style of arrowhead on the tail node of an edge.		arrowtail	Края	arrowТип	normal	
bb	Clusters, Graphs	rect			Ограничительная рамка рисунка в точках. Только запись.	Bounding box of drawing in points. write only.		bb	Кластеры, Графы	прям		
beautify	Graphs	bool	false		Следует ли рисовать листовые узлы равномерно по кругу вокруг корневого узла в sfdp.. только sfdp .	Whether to draw leaf nodes uniformly in a circle around the root node in sfdp.. sfdp only.		beautify	Графы	бул	false	
bgcolor	Graphs, Clusters	color, colorList	<none>		Цвет фона холста.	Canvas background color.		bgcolor	Графы, Кластеры	цвет , список цветов	<none>	
center	Graphs	bool	false		Центрировать ли рисунок на выходном холсте.	Whether to center the drawing in the output canvas.		center	Графы	бул	false	
charset	Graphs	string	"""UTF-8"""		Кодировка символов, используемая при интерпретации входной строки как текстовой метки.	Character encoding used when interpreting string input as a text label..		charset	Графы	нить	"""UTF-8"""	
class	Edges, Nodes, Clusters, Graphs	string	""""""		Имена классов для присоединения к элементу SVG узла, ребра, графика или кластера. Только svg .	Classnames to attach to the node, edge, graph, or cluster's SVG element. svg only.		class	Ребра, узлы, кластеры, графы	нить	""""""	
cluster	Clusters, Subgraphs	bool	false		Является ли подграф кластером.	Whether the subgraph is a cluster.		cluster	Кластеры, Подграфы	бул	false	
clusterrank	Graphs	clusterMode	local		Режим, используемый для обработки кластеров. Только точка .	Mode used for handling clusters. dot only.		clusterrank	Графы	clusterMode	local	
color	Edges, Nodes, Clusters	color, colorList	black		Основной цвет рисунка для Графов, а не текста.	Basic drawing color for graphics, not text.		color	Края, узлы, кластеры	цвет , список цветов	black	
colorscheme	Edges, Nodes, Clusters, Graphs	string	""""""		Пространство имен цветовой схемы: контекст для интерпретации названий цветов.	A color scheme namespace: the context for interpreting color names.		colorscheme	Ребра, узлы, кластеры, графы	нить	""""""	
comment	Edges, Nodes, Graphs	string	""""""		Комментарии вставляются в вывод.	Comments are inserted into output.		comment	Ребра, узлы, графы	нить	""""""	
compound	Graphs	bool	false		Если true, разрешить границы между кластерами. только точка .	If true, allow edges between clusters. dot only.		compound	Графы	бул	false	
concentrate	Graphs	bool	false		Если это так, используйте краевые концентраторы.	If true, use edge concentrators.		concentrate	Графы	бул	false	
constraint	Edges	bool	true		Если false, ребро не используется при ранжировании узлов. Только точка .	If false, the edge is not used in ranking the nodes. dot only.		constraint	Края	бул	true	
Damping	Graphs	double	0.99	0.0	Фактор демпфирования силовых движений.. только нето .	Factor damping force motions.. neato only.		Damping	Графы	двойной	0.99	0.0
decorate	Edges	bool	false		Соединять ли кромочную метку с краем линией.	Whether to connect the edge label to the edge with a line.		decorate	Края	бул	false	
defaultdist	Graphs	double	1+(avg. len)*sqrt(|V|)	epsilon	Расстояние между узлами в отдельных связанных компонентах. Только Neeto .	The distance between nodes in separate connected components. neato only.		defaultdist	Графы	двойной	1+(avg. len)*sqrt(|V|)	epsilon
dim	Graphs	int	2	2	Установите количество измерений, используемых для макета. Только neato , fdp , sfdp .	Set the number of dimensions used for the layout. neato, fdp, sfdp only.		dim	Графы	инт	2	2
dimen	Graphs	int	2	2	Установите количество измерений, используемых для рендеринга. Только neato , fdp , sfdp .	Set the number of dimensions used for rendering. neato, fdp, sfdp only.		dimen	Графы	инт	2	2
dir	Edges	dirType	"forward (directed)
none (undirected)"		Тип кромки для рисования наконечников стрел.	Edge type for drawing arrowheads.		dir	Края	dirType	"forward(направленный)
none(ненаправленный)"	
diredgeconstraints	Graphs	string, bool	false		Ограничивать ли большинство рёбер направленностью вниз. Только Neato .	Whether to constrain most edges to point downwards. neato only.		diredgeconstraints	Графы	строка , логический	false	
distortion	Nodes	double	0.0	-100.0	Коэффициент искажения для . shape=polygon	Distortion factor for shape=polygon.		distortion	Узлы	двойной	0.0	-100.0
dpi	Graphs	double	96.0	0.0	Указывает ожидаемое количество пикселей на дюйм на устройстве отображения. Вывод в формате bitmap, только svg .	Specifies the expected number of pixels per inch on a display device. bitmap output, svg only.		dpi	Графы	двойной	96.0	0.0
edgehref	Edges	escString	""""""		Синоним для edgeURL. map, только svg .	Synonym for edgeURL. map, svg only.		edgehref	Края	escСтрока	""""""	
edgetarget	Edges	escString	<none>		Окно браузера, используемое для edgeURLссылки. Карта, только svg .	Browser window to use for the edgeURL link. map, svg only.		edgetarget	Края	escСтрока	<none>	
edgetooltip	Edges	escString	""""""		Подсказка-аннотация, прикрепленная к части ребра, не являющейся меткой. cmap , только svg .	Tooltip annotation attached to the non-label part of an edge. cmap, svg only.		edgetooltip	Края	escСтрока	""""""	
edgeURL	Edges	escString	""""""		Ссылка на части ребра, не имеющие меток. Карта, только svg .	The link for the non-label parts of an edge. map, svg only.		edgeURL	Края	escСтрока	""""""	
epsilon	Graphs	double	".0001 * # nodes (mode == KK)
.0001 (mode == major)
.01 (mode == sgd)"		Прерывающее состояние. Только неито .	Terminating condition. neato only.		epsilon	Графы	двойной	".0001 * # nodes(режим == KK)
.0001(режим == major)
.01(режим == sgd)"	
esep	Graphs	addDouble, addPoint	3		Поле, используемое вокруг полигонов для маршрутизации кромок сплайна. Только для Neato , FDP , SFD , Osage, Circo , TwoPi .	Margin used around polygons for purposes of spline edge routing. neato, fdp, sfdp, osage, circo, twopi only.		esep	Графы	addDouble , addPoint	3	
fillcolor	Nodes, Edges, Clusters	color, colorList	"lightgrey (nodes)
black (clusters)"		Цвет, используемый для заливки фона узла или кластера.	Color used to fill the background of a node or cluster.		fillcolor	Узлы, ребра, кластеры	цвет , список цветов	"lightgrey(узлы)
black(кластеры)"	
fixedsize	Nodes	bool, string	false		Использовать ли указанные атрибуты ширины и высоты для выбора размера узла (вместо изменения размера в соответствии с содержимым узла).	Whether to use the specified width and height attributes to choose node size (rather than sizing to fit the node contents).		fixedsize	Узлы	бул , строка	false	
fontcolor	Edges, Nodes, Graphs, Clusters	color	black		Цвет, используемый для текста.	Color used for text.		fontcolor	Ребра, узлы, графы, кластеры	цвет	black	
fontname	Edges, Nodes, Graphs, Clusters	string	"""Times-Roman"""		Шрифт, используемый для текста.	Font used for text.		fontname	Ребра, узлы, графы, кластеры	нить	"""Times-Roman"""	
fontnames	Graphs	string	""""""		Позволяет пользователю контролировать, как основные имена шрифтов будут представлены в выходных данных SVG. Только svg .	Allows user control of how basic fontnames are represented in SVG output. svg only.		fontnames	Графы	нить	""""""	
fontpath	Graphs	string	<system-dependent>		Список каталогов, используемых libgd для поиска растровых шрифтов.	Directory list used by libgd to search for bitmap fonts.		fontpath	Графы	нить	<system-dependent>	
fontsize	Edges, Nodes, Graphs, Clusters	double	14.0	1.0	Размер шрифта в пунктах , используемый для текста.	Font size, in points, used for text.		fontsize	Ребра, узлы, графы, кластеры	двойной	14.0	1.0
forcelabels	Graphs	bool	true		Следует ли принудительно размещать все xlabels, даже если они перекрываются.	Whether to force placement of all xlabels, even if overlapping.		forcelabels	Графы	бул	true	
gradientangle	Nodes, Clusters, Graphs	int	0	0	Если используется градиентная заливка, это определяет угол заливки.	If a gradient fill is being used, this determines the angle of the fill.		gradientangle	Узлы, Кластеры, Графы	инт	0	0
group	Nodes	string	""""""		Название группы узлов, для объединения ребер без пересечений. Только точка .	Name for a group of nodes, for bundling edges avoiding crossings.. dot only.		group	Узлы	нить	""""""	
head_lp	Edges	point			Центральное положение метки заголовка ребра. только запись.	Center position of an edge's head label. write only.		head_lp	Края	точка		
headclip	Edges	bool	true		Если true, начало ребра обрезается по границе головного узла.	If true, the head of an edge is clipped to the boundary of the head node.		headclip	Края	бул	true	
headhref	Edges	escString	""""""		Синоним для headURL. map, только svg .	Synonym for headURL. map, svg only.		headhref	Края	escСтрока	""""""	
headlabel	Edges	lblString	""""""		Текстовую метку следует разместить у верхнего края.	Text label to be placed near head of edge.		headlabel	Края	lblСтрока	""""""	
headport	Edges	portPos	center		Указывает, где на головном узле прикрепить головку ребра.	Indicates where on the head node to attach the head of the edge.		headport	Края	портPos	center	
headtarget	Edges	escString	<none>		Окно браузера, используемое для headURLссылки. Карта, только svg .	Browser window to use for the headURL link. map, svg only.		headtarget	Края	escСтрока	<none>	
headtooltip	Edges	escString	""""""		Подсказка-аннотация, прикрепленная к началу ребра. cmap , только svg .	Tooltip annotation attached to the head of an edge. cmap, svg only.		headtooltip	Края	escСтрока	""""""	
headURL	Edges	escString	""""""		Если определено, headURLвыводится как часть заголовка ребра. Карта, только svg .	If defined, headURL is output as part of the head label of the edge. map, svg only.		headURL	Края	escСтрока	""""""	
height	Nodes	double	0.5	0.02	Высота узла в дюймах.	Height of node, in inches.		height	Узлы	двойной	0.5	0.02
href	Graphs, Clusters, Nodes, Edges	escString	""""""		Синоним для URL. map, postscript , только svg .	Synonym for URL. map, postscript, svg only.		href	Графы, Кластеры, Узлы, Ребра	escСтрока	""""""	
id	Graphs, Clusters, Nodes, Edges	escString	""""""		Идентификатор для графических объектов. Только map, postscript , svg .	Identifier for graph objects. map, postscript, svg only.		id	Графы, Кластеры, Узлы, Ребра	escСтрока	""""""	
image	Nodes	string	""""""		Задает имя файла, содержащего изображение, которое будет отображаться внутри узла.	Gives the name of a file containing an image to be displayed inside a node.		image	Узлы	нить	""""""	
imagepath	Graphs	string	""""""		Список каталогов, в которых следует искать файлы изображений.	A list of directories in which to look for image files.		imagepath	Графы	нить	""""""	
imagepos	Nodes	string	"""mc"""		Управляет расположением изображения в содержащем его узле.	Controls how an image is positioned within its containing node.		imagepos	Узлы	нить	"""mc"""	
imagescale	Nodes	bool, string	false		Управляет тем, как изображение заполняет содержащий его узел.	Controls how an image fills its containing node.		imagescale	Узлы	бул , строка	false	
inputscale	Graphs	double	<none>		Масштабирует входные позиции для преобразования между единицами длины. Только neato , fdp .	Scales the input positions to convert between length units. neato, fdp only.		inputscale	Графы	двойной	<none>	
K	Graphs, Clusters	double	0.3	0	Жесткость пружины, используемая в виртуальной физической модели. Только fdp , sfdp .	Spring constant used in virtual physical model. fdp, sfdp only.		K	Графы, Кластеры	двойной	0.3	0
label	Edges, Nodes, Graphs, Clusters	lblString	"""\N"" (nodes)
"""" (otherwise)"		Текстовая метка, прикрепленная к объектам.	Text label attached to objects.		label	Ребра, узлы, графы, кластеры	lblСтрока	"""\N""(узлы)
""""(иначе)"	
label_scheme	Graphs	int	0	0	Следует ли рассматривать узел, имя которого имеет форму, |edgelabel|*как специальный узел, представляющий метку ребра.. только sfdp .	Whether to treat a node whose name has the form |edgelabel|* as a special node representing an edge label.. sfdp only.		label_scheme	Графы	инт	0	0
labelangle	Edges	double	-25.0	-180.0	Угол (в градусах) в полярных координатах меток кромки головы и хвоста.	The angle (in degrees) in polar coordinates of the head & tail edge labels..		labelangle	Края	двойной	-25.0	-180.0
labeldistance	Edges	double	1.0	0.0	Коэффициент масштабирования для расстояния от headlabel/ taillabelдо головного/хвостового узлов.	Scaling factor for the distance of headlabel / taillabel from the head / tail nodes..		labeldistance	Края	двойной	1.0	0.0
labelfloat	Edges	bool	false		Если установлено значение true, позволяет сделать метки краев менее ограниченными по положению.	If true, allows edge labels to be less constrained in position.		labelfloat	Края	бул	false	
labelfontcolor	Edges	color	black		Цвет, используемый для headlabelи taillabel..	Color used for headlabel and taillabel..		labelfontcolor	Края	цвет	black	
labelfontname	Edges	string	"""Times-Roman"""		Шрифт для headlabelи taillabel.	Font for headlabel and taillabel.		labelfontname	Края	нить	"""Times-Roman"""	
labelfontsize	Edges	double	14.0	1.0	Размер шрифта headlabelи taillabel.	Font size of headlabel and taillabel.		labelfontsize	Края	двойной	14.0	1.0
labelhref	Edges	escString	""""""		Синоним для labelURL. map, только svg .	Synonym for labelURL. map, svg only.		labelhref	Края	escСтрока	""""""	
labeljust	Graphs, Clusters	string	"""c"""		Обоснование меток графиков и кластеров.	Justification for graph & cluster labels.		labeljust	Графы, Кластеры	нить	"""c"""	
labelloc	Nodes, Graphs, Clusters	string	"""t"" (clusters)
""b"" (root graphs)
""c"" (nodes)"		Вертикальное размещение меток для узлов, корневых графов и кластеров.	Vertical placement of labels for nodes, root graphs and clusters.		labelloc	Узлы, Графы, Кластеры	нить	"""t""(кластеры)
""b""(корневые графы)
""c""(узлы)"	
labeltarget	Edges	escString	<none>		Окно браузера для открытия labelURLссылок. Карта, только svg .	Browser window to open labelURL links in. map, svg only.		labeltarget	Края	escСтрока	<none>	
labeltooltip	Edges	escString	""""""		Подсказка-аннотация, прикрепленная к метке ребра. cmap , только svg .	Tooltip annotation attached to label of an edge. cmap, svg only.		labeltooltip	Края	escСтрока	""""""	
labelURL	Edges	escString	""""""		Если определено, labelURLссылка используется для метки ребра. Карта, только svg .	If defined, labelURL is the link used for the label of an edge. map, svg only.		labelURL	Края	escСтрока	""""""	
landscape	Graphs	bool	false		Если true, график отображается в альбомной ориентации.	If true, the graph is rendered in landscape mode.		landscape	Графы	бул	false	
layer	Edges, Nodes, Clusters	layerRange	""""""		Указывает слои, в которых присутствует узел, ребро или кластер.	Specifies layers in which the node, edge or cluster is present.		layer	Края, узлы, кластеры	слойДиапазон	""""""	
layerlistsep	Graphs	string	""","""		Символы-разделители, используемые для разделения атрибутов типа layerRangeна список диапазонов.	The separator characters used to split attributes of type layerRange into a list of ranges..		layerlistsep	Графы	нить	""","""	
layers	Graphs	layerList	""""""		Линейно упорядоченный список имен слоев, прикрепленных к графику.	A linearly ordered list of layer names attached to the graph.		layers	Графы	список слоев	""""""	
layerselect	Graphs	layerRange	""""""		Выбирает список слоев для эмиссии.	Selects a list of layers to be emitted.		layerselect	Графы	слойДиапазон	""""""	
layersep	Graphs	string	""":\t """		Символы-разделители для разбиения layersатрибута на список имен слоев.	The separator characters for splitting the layers attribute into a list of layer names..		layersep	Графы	нить	""":\t """	
layout	Graphs	string	""""""		Какой движок компоновки использовать.	Which layout engine to use.		layout	Графы	нить	""""""	
len	Edges	double	"1.0 (neato)
0.3 (fdp)"		Предпочтительная длина кромки, в дюймах. только для чистовой отделки , fdp .	Preferred edge length, in inches. neato, fdp only.		len	Края	двойной	"1.0(neato)
0.3(fdp)"	
levels	Graphs	int	INT_MAX	0.0	Количество уровней, разрешенных в многоуровневой схеме. Только sfdp .	Number of levels allowed in the multilevel scheme. sfdp only.		levels	Графы	инт	INT_MAX	0.0
levelsgap	Graphs	double	0.0		строгость ограничений уровня Neeto. только Neeto .	strictness of neato level constraints. neato only.		levelsgap	Графы	двойной	0.0	
lhead	Edges	string	""""""		Логическая вершина ребра. Только точка .	Logical head of an edge. dot only.		lhead	Края	нить	""""""	
lheight	Graphs, Clusters	double			Высота метки графика или кластера в дюймах. только запись.	Height of graph or cluster label, in inches. write only.		lheight	Графы, Кластеры	двойной		
linelength	Graphs	int	128	60	Какой длины должны быть строки перед переполнением на следующую строку для текстового вывода.	How long strings should get before overflowing to next line, for text output..		linelength	Графы	инт	128	60
lp	Edges, Graphs, Clusters	point			Центральная позиция метки. Только запись.	Label center position. write only.		lp	Ребра, Графы, Кластеры	точка		
ltail	Edges	string	""""""		Логический хвост ребра. Только точка .	Logical tail of an edge. dot only.		ltail	Края	нить	""""""	
